BBL,BOROUGH,BLOCK,ADDRESS,YEAR
20091000010201.0,MN,1,1 ELLIS ISLAND,2009
20091000010010.0,MN,1,1 GOVERNORS ISLAND,2009
20091000010101.0,MN,1,1 LIBERTY ISLAND,2009
20091000020001.0,MN,2,MARGINAL STREET,2009
20091000020023.0,MN,2,PIER 6,2009
20091000030002.0,MN,3,PETER MINUIT PLAZA,2009
20091000030001.0,MN,3,BATTERY PARK,2009
20091000030010.0,MN,3,1 SOUTH STREET,2009
20091000030003.0,MN,3,PETER MINUIT PLAZA,2009
20091000030004.0,MN,3,VAZIO,2009
20091000047501.0,MN,4,1 WATER STREET,2009
20091000057501.0,MN,5,125 BROAD STREET,2009
20091000050010.0,MN,5,115 BROAD STREET,2009
20091000060001.0,MN,6,SOUTH STREET,2009
20091000070030.0,MN,7,24 WATER STREET,2009
20091000070033.0,MN,7,101 BROAD STREET,2009
20091000070027.0,MN,7,30 WATER STREET,2009
20091000077501.0,MN,7,1 COENTIES SLIP,2009
20091000070037.0,MN,7,58 PEARL STREET,2009
20091000070029.0,MN,7,26 WATER STREET,2009
20091000070028.0,MN,7,28 WATER STREET,2009
20091000077502.0,MN,7,32 WATER STREET,2009
20091000070038.0,MN,7,60 PEARL STREET,2009
20091000070035.0,MN,7,99 BROAD STREET,2009
20091000070031.0,MN,7,105 BROAD STREET,2009
20091000080039.0,MN,8,32 PEARL STREET,2009
20091000087501.0,MN,8,39 WHITEHALL STREET,2009
20091000080044.0,MN,8,102 BROAD STREET,2009
20091000080051.0,MN,8,6 WATER STREET,2009
20091000090001.0,MN,9,34 WHITEHALL STREET,2009
20091000090014.0,MN,9,17 STATE STREET,2009
20091000090029.0,MN,9,24 WHITEHALL STREET,2009
20091000090007.0,MN,9,7 STATE STREET,2009
20091000100032.0,MN,10,6 STONE STREET,2009
20091000100001.0,MN,10,100 BROAD STREET,2009
20091000100033.0,MN,10,12 STONE STREET,2009
20091000100014.0,MN,10,33 WHITEHALL STREET,2009
20091000100015.0,MN,10,27 WHITEHALL STREET,2009
20091000100023.0,MN,10,1 WHITEHALL STREET,2009
20091000100019.0,MN,10,25 BRIDGE STREET,2009
20091000100016.0,MN,10,90 BROAD STREET,2009
